Date,Ticker,Open,High,Low,Close,Volume
2021-01-04,BID,27.4,27.8,27.4,27.68,1993800.0
2021-01-05,BID,27.48,27.59,27.34,27.48,2155700.0
2021-01-06,BID,27.71,29.04,27.29,28.0,3674500.0
2021-01-07,BID,28.0,28.63,27.82,28.05,1678500.0
2021-01-08,BID,28.29,28.29,27.65,27.82,2034900.0
2021-01-11,BID,27.82,27.88,27.48,27.68,2758800.0
2021-01-12,BID,27.68,28.11,27.48,27.97,2189300.0
2021-01-13,BID,28.0,28.23,27.76,27.8,1650200.0
2021-01-14,BID,27.82,28.11,27.53,28.03,1904800.0
2021-01-15,BID,28.29,28.4,28.03,28.03,2404700.0
2021-01-18,BID,28.05,28.11,27.88,27.91,1685100.0
2021-01-19,BID,27.88,27.88,25.96,25.96,2701100.0
2021-01-20,BID,25.96,26.68,24.38,26.11,2306500.0
2021-01-21,BID,26.16,26.68,25.93,26.68,1347000.0
2021-01-22,BID,26.68,26.7,25.88,25.96,2211800.0
2021-01-25,BID,25.82,25.93,25.48,25.6,1371900.0
2021-01-26,BID,25.45,25.45,23.98,24.42,1836800.0
2021-01-27,BID,24.42,24.89,23.29,23.7,2102100.0
2021-01-28,BID,22.37,22.95,22.06,22.06,2692000.0
2021-01-29,BID,20.94,23.43,20.94,22.9,2008200.0
2021-02-01,BID,22.9,23.53,22.17,22.44,1545000.0
2021-02-02,BID,22.31,22.92,22.11,22.58,2497300.0
2021-02-03,BID,23.0,23.81,22.78,23.72,1851900.0
2021-02-04,BID,23.76,23.86,23.47,23.81,1378500.0
2021-02-05,BID,23.81,24.15,23.7,23.98,1279600.0
2021-02-08,BID,23.98,24.09,22.4,23.0,1874900.0
2021-02-09,BID,23.24,23.64,22.78,23.41,1448500.0
2021-02-17,BID,23.43,24.15,23.43,24.15,1439000.0
2021-02-18,BID,24.21,24.95,23.92,24.89,2339700.0
2021-02-19,BID,24.67,25.54,24.59,25.3,2027200.0
2021-02-22,BID,25.3,25.54,25.07,25.1,1523800.0
2021-02-23,BID,25.1,25.3,24.78,25.24,1533100.0
2021-02-24,BID,25.18,25.36,24.44,24.71,1640000.0
2021-02-25,BID,24.75,25.12,24.21,24.65,1733200.0
2021-02-26,BID,24.56,25.07,24.27,25.01,1379500.0
2021-03-01,BID,25.01,25.48,25.01,25.3,2251400.0
2021-03-02,BID,25.54,25.6,25.16,25.27,2124000.0
2021-03-03,BID,25.27,25.36,25.07,25.12,1583800.0
2021-03-04,BID,25.24,25.39,24.27,24.53,2089500.0
2021-03-05,BID,24.53,24.84,24.09,24.33,1857200.0
2021-03-08,BID,24.89,24.89,24.27,24.36,1595300.0
2021-03-09,BID,24.33,24.33,23.81,24.01,2430700.0
2021-03-10,BID,24.09,24.21,23.76,24.09,2056500.0
2021-03-11,BID,24.5,25.01,24.42,24.84,1672400.0
2021-03-12,BID,24.95,25.07,24.72,24.87,2536400.0
2021-03-15,BID,24.95,25.01,24.56,24.67,2779700.0
2021-03-16,BID,24.67,24.78,24.27,24.33,2223700.0
2021-03-17,BID,24.38,24.89,24.07,24.84,4346500.0
2021-03-18,BID,25.24,25.99,24.98,25.82,5666500.0
2021-03-19,BID,25.82,26.05,25.64,25.82,2885400.0
2021-03-22,BID,25.82,25.82,25.54,25.62,2562800.0
2021-03-23,BID,25.54,25.56,24.72,25.07,4549300.0
2021-03-24,BID,24.67,24.84,24.04,24.18,3341900.0
2021-03-25,BID,24.38,24.65,24.07,24.24,2369000.0
2021-03-26,BID,24.07,24.33,23.24,24.15,2445100.0
2021-03-29,BID,24.38,24.47,24.18,24.42,1347900.0
2021-03-30,BID,24.67,24.71,24.27,24.59,2304200.0
2021-03-31,BID,24.65,24.93,24.56,24.65,2170100.0
2021-04-01,BID,24.67,25.24,24.67,25.22,3706500.0
2021-04-02,BID,25.48,26.11,25.27,25.82,5794100.0
2021-04-05,BID,26.22,26.34,25.88,26.13,5969400.0
2021-04-06,BID,26.05,26.53,25.84,26.25,4113800.0
2021-04-07,BID,26.22,26.25,26.02,26.13,2609000.0
2021-04-08,BID,26.22,26.28,25.64,25.7,4412400.0
